Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2019 12 12 00	34.979
2019 12 12 01	34.979
2019 12 12 02	34.979
2019 12 12 03	34.979
2019 12 12 04	34.979
2019 12 12 05	34.979
2019 12 12 06	34.979
2019 12 12 07	34.979
2019 12 12 08	34.979
2019 12 12 09	34.979
2019 12 12 10	34.979
2019 12 12 11	34.979
2019 12 12 12	34.979
2019 12 12 13	34.979
2019 12 12 14	34.979
2019 12 12 15	34.979
2019 12 12 16	34.979
2019 12 12 17	34.979
2019 12 12 18	34.979
2019 12 12 19	34.979
2019 12 12 20	34.979
2019 12 12 21	34.979
2019 12 12 22	34.979
2019 12 12 23	34.979
2019 12 13 00	35.143
2019 12 13 01	35.143
2019 12 13 02	35.143
2019 12 13 03	35.143
2019 12 13 04	35.143
2019 12 13 05	35.143
2019 12 13 06	35.143
2019 12 13 07	35.143
2019 12 13 08	35.143
2019 12 13 09	35.143
2019 12 13 10	35.143
2019 12 13 11	35.143
2019 12 13 12	35.143
2019 12 13 13	35.143
2019 12 13 14	35.143
2019 12 13 15	35.143
2019 12 13 16	35.143
2019 12 13 17	35.143
2019 12 13 18	35.143
2019 12 13 19	35.143
2019 12 13 20	35.143
2019 12 13 21	35.143
2019 12 13 22	35.143
2019 12 13 23	35.143
2019 12 14 00	35.132
2019 12 14 01	35.132
2019 12 14 02	35.132
2019 12 14 03	35.132
2019 12 14 04	35.132
2019 12 14 05	35.132
2019 12 14 06	35.132
2019 12 14 07	35.132
2019 12 14 08	35.132
2019 12 14 09	35.132
2019 12 14 10	35.132
2019 12 14 11	35.132
2019 12 14 12	35.132
2019 12 14 13	35.132
2019 12 14 14	35.132
2019 12 14 15	35.132
2019 12 14 16	35.132
2019 12 14 17	35.132
2019 12 14 18	35.132
2019 12 14 19	35.132
2019 12 14 20	35.132
2019 12 14 21	35.132
2019 12 14 22	35.132
2019 12 14 23	35.132
2019 12 15 00	34.955
2019 12 15 01	34.955
2019 12 15 02	34.955
2019 12 15 03	34.955
2019 12 15 04	34.955
2019 12 15 05	34.955
2019 12 15 06	34.955
2019 12 15 07	34.955
2019 12 15 08	34.955
2019 12 15 09	34.955
2019 12 15 10	34.955
2019 12 15 11	34.955
2019 12 15 12	34.955
2019 12 15 13	34.955
2019 12 15 14	34.955
2019 12 15 15	34.955
2019 12 15 16	34.955
2019 12 15 17	34.955
2019 12 15 18	34.955
2019 12 15 19	34.955
2019 12 15 20	34.955
2019 12 15 21	34.955
2019 12 15 22	34.955
2019 12 15 23	34.955
2019 12 16 00	34.779
2019 12 16 01	34.779
2019 12 16 02	34.779
2019 12 16 03	34.779
2019 12 16 04	34.779
2019 12 16 05	34.779
2019 12 16 06	34.779
2019 12 16 07	34.779
2019 12 16 08	34.779
2019 12 16 09	34.779
2019 12 16 10	34.779
2019 12 16 11	34.779
2019 12 16 12	34.779
2019 12 16 13	34.779
2019 12 16 14	34.779
2019 12 16 15	34.779
2019 12 16 16	34.779
2019 12 16 17	34.779
2019 12 16 18	34.779
2019 12 16 19	34.779
2019 12 16 20	34.779
2019 12 16 21	34.779
2019 12 16 22	34.779
2019 12 16 23	34.779
2019 12 17 00	34.904
2019 12 17 01	34.904
2019 12 17 02	34.904
2019 12 17 03	34.904
2019 12 17 04	34.904
2019 12 17 05	34.904
2019 12 17 06	34.904
2019 12 17 07	34.904
2019 12 17 08	34.904
2019 12 17 09	34.904
2019 12 17 10	34.904
2019 12 17 11	34.904
2019 12 17 12	34.904
2019 12 17 13	34.904
2019 12 17 14	34.904
2019 12 17 15	34.904
2019 12 17 16	34.904
2019 12 17 17	34.904
2019 12 17 18	34.904
2019 12 17 19	34.904
2019 12 17 20	34.904
2019 12 17 21	34.904
2019 12 17 22	34.904
2019 12 17 23	34.904
2019 12 18 00	34.86
2019 12 18 01	34.86
2019 12 18 02	34.86
2019 12 18 03	34.86
2019 12 18 04	34.86
2019 12 18 05	34.86
2019 12 18 06	34.86
2019 12 18 07	34.86
2019 12 18 08	34.86
2019 12 18 09	34.86
2019 12 18 10	34.86
2019 12 18 11	34.86
2019 12 18 12	34.86
2019 12 18 13	34.86
2019 12 18 14	34.86
2019 12 18 15	34.86
2019 12 18 16	34.86
2019 12 18 17	34.86
2019 12 18 18	34.86
2019 12 18 19	34.86
2019 12 18 20	34.86
2019 12 18 21	34.86
2019 12 18 22	34.86
2019 12 18 23	34.86
2019 12 19 00	34.842
2019 12 19 01	34.842
2019 12 19 02	34.842
2019 12 19 03	34.842
2019 12 19 04	34.842
2019 12 19 05	34.842
2019 12 19 06	34.842
2019 12 19 07	34.842
2019 12 19 08	34.842
2019 12 19 09	34.842
2019 12 19 10	34.842
2019 12 19 11	34.842
2019 12 19 12	34.842
2019 12 19 13	34.842
2019 12 19 14	34.842
2019 12 19 15	34.842
2019 12 19 16	34.842
2019 12 19 17	34.842
2019 12 19 18	34.842
2019 12 19 19	34.842
2019 12 19 20	34.842
2019 12 19 21	34.842
2019 12 19 22	34.842
2019 12 19 23	34.842
2019 12 20 00	34.551
2019 12 20 01	34.551
2019 12 20 02	34.551
2019 12 20 03	34.551
2019 12 20 04	34.551
2019 12 20 05	34.551
2019 12 20 06	34.551
2019 12 20 07	34.551
2019 12 20 08	34.551
2019 12 20 09	34.551
2019 12 20 10	34.551
2019 12 20 11	34.551
2019 12 20 12	34.551
2019 12 20 13	34.551
2019 12 20 14	34.551
2019 12 20 15	34.551
2019 12 20 16	34.551
2019 12 20 17	34.551
2019 12 20 18	34.551
2019 12 20 19	34.551
2019 12 20 20	34.551
2019 12 20 21	34.551
2019 12 20 22	34.551
2019 12 20 23	34.551
2019 12 21 00	34.23
2019 12 21 01	34.23
2019 12 21 02	34.23
2019 12 21 03	34.23
2019 12 21 04	34.23
2019 12 21 05	34.23
2019 12 21 06	34.23
2019 12 21 07	34.23
2019 12 21 08	34.23
2019 12 21 09	34.23
2019 12 21 10	34.23
2019 12 21 11	34.23
2019 12 21 12	34.23
2019 12 21 13	34.23
2019 12 21 14	34.23
2019 12 21 15	34.23
2019 12 21 16	34.23
2019 12 21 17	34.23
2019 12 21 18	34.23
2019 12 21 19	34.23
2019 12 21 20	34.23
2019 12 21 21	34.23
2019 12 21 22	34.23
2019 12 21 23	34.23
2019 12 22 00	34.944
2019 12 22 01	34.944
2019 12 22 02	34.944
2019 12 22 03	34.944
2019 12 22 04	34.944
2019 12 22 05	34.944
2019 12 22 06	34.944
2019 12 22 07	34.944
2019 12 22 08	34.944
2019 12 22 09	34.944
2019 12 22 10	34.944
2019 12 22 11	34.944
2019 12 22 12	34.944
2019 12 22 13	34.944
2019 12 22 14	34.944
2019 12 22 15	34.944
2019 12 22 16	34.944
2019 12 22 17	34.944
2019 12 22 18	34.944
2019 12 22 19	34.944
2019 12 22 20	34.944
2019 12 22 21	34.944
2019 12 22 22	34.944
2019 12 22 23	34.944
2019 12 23 00	35.014
2019 12 23 01	35.014
2019 12 23 02	35.014
2019 12 23 03	35.014
2019 12 23 04	35.014
2019 12 23 05	35.014
2019 12 23 06	35.014
2019 12 23 07	35.014
2019 12 23 08	35.014
2019 12 23 09	35.014
2019 12 23 10	35.014
2019 12 23 11	35.014
2019 12 23 12	35.014
2019 12 23 13	35.014
2019 12 23 14	35.014
2019 12 23 15	35.014
2019 12 23 16	35.014
2019 12 23 17	35.014
2019 12 23 18	35.014
2019 12 23 19	35.014
2019 12 23 20	35.014
2019 12 23 21	35.014
2019 12 23 22	35.014
2019 12 23 23	35.014
2019 12 24 00	34.729
2019 12 24 01	34.729
2019 12 24 02	34.729
2019 12 24 03	34.729
2019 12 24 04	34.729
2019 12 24 05	34.729
2019 12 24 06	34.729
2019 12 24 07	34.729
2019 12 24 08	34.729
2019 12 24 09	34.729
2019 12 24 10	34.729
2019 12 24 11	34.729
2019 12 24 12	34.729
2019 12 24 13	34.729
2019 12 24 14	34.729
2019 12 24 15	34.729
2019 12 24 16	34.729
2019 12 24 17	34.729
2019 12 24 18	34.729
2019 12 24 19	34.729
2019 12 24 20	34.729
2019 12 24 21	34.729
2019 12 24 22	34.729
2019 12 24 23	34.729
2019 12 25 00	34.484
2019 12 25 01	34.484
2019 12 25 02	34.484
2019 12 25 03	34.484
2019 12 25 04	34.484
2019 12 25 05	34.484
2019 12 25 06	34.484
2019 12 25 07	34.484
2019 12 25 08	34.484
2019 12 25 09	34.484
2019 12 25 10	34.484
2019 12 25 11	34.484
2019 12 25 12	34.484
2019 12 25 13	34.484
2019 12 25 14	34.484
2019 12 25 15	34.484
2019 12 25 16	34.484
2019 12 25 17	34.484
2019 12 25 18	34.484
2019 12 25 19	34.484
2019 12 25 20	34.484
2019 12 25 21	34.484
2019 12 25 22	34.484
2019 12 25 23	34.484
2019 12 26 00	34.522
2019 12 26 01	34.522
2019 12 26 02	34.522
2019 12 26 03	34.522
2019 12 26 04	34.522
2019 12 26 05	34.522
2019 12 26 06	34.522
2019 12 26 07	34.522
2019 12 26 08	34.522
2019 12 26 09	34.522
2019 12 26 10	34.522
2019 12 26 11	34.522
2019 12 26 12	34.522
2019 12 26 13	34.522
2019 12 26 14	34.522
2019 12 26 15	34.522
2019 12 26 16	34.522
2019 12 26 17	34.522
2019 12 26 18	34.522
2019 12 26 19	34.522
2019 12 26 20	34.522
2019 12 26 21	34.522
2019 12 26 22	34.522
2019 12 26 23	34.522
2019 12 27 00	34.618
2019 12 27 01	34.618
2019 12 27 02	34.618
2019 12 27 03	34.618
2019 12 27 04	34.618
2019 12 27 05	34.618
2019 12 27 06	34.618
2019 12 27 07	34.618
2019 12 27 08	34.618
2019 12 27 09	34.618
2019 12 27 10	34.618
2019 12 27 11	34.618
2019 12 27 12	34.618
2019 12 27 13	34.618
2019 12 27 14	34.618
2019 12 27 15	34.618
2019 12 27 16	34.618
2019 12 27 17	34.618
2019 12 27 18	34.618
2019 12 27 19	34.618
2019 12 27 20	34.618
2019 12 27 21	34.618
2019 12 27 22	34.618
2019 12 27 23	34.618
2019 12 28 00	35.147
2019 12 28 01	35.147
2019 12 28 02	35.147
2019 12 28 03	35.147
2019 12 28 04	35.147
2019 12 28 05	35.147
2019 12 28 06	35.147
2019 12 28 07	35.147
2019 12 28 08	35.147
2019 12 28 09	35.147
2019 12 28 10	35.147
2019 12 28 11	35.147
2019 12 28 12	35.147
2019 12 28 13	35.147
2019 12 28 14	35.147
2019 12 28 15	35.147
2019 12 28 16	35.147
2019 12 28 17	35.147
2019 12 28 18	35.147
2019 12 28 19	35.147
2019 12 28 20	35.147
2019 12 28 21	35.147
2019 12 28 22	35.147
2019 12 28 23	35.147
2019 12 29 00	35.062
2019 12 29 01	35.062
2019 12 29 02	35.062
2019 12 29 03	35.062
2019 12 29 04	35.062
2019 12 29 05	35.062
2019 12 29 06	35.062
2019 12 29 07	35.062
2019 12 29 08	35.062
2019 12 29 09	35.062
2019 12 29 10	35.062
2019 12 29 11	35.062
2019 12 29 12	35.062
2019 12 29 13	35.062
2019 12 29 14	35.062
2019 12 29 15	35.062
2019 12 29 16	35.062
2019 12 29 17	35.062
2019 12 29 18	35.062
2019 12 29 19	35.062
2019 12 29 20	35.062
2019 12 29 21	35.062
2019 12 29 22	35.062
2019 12 29 23	35.062
2019 12 30 00	34.909
2019 12 30 01	34.909
2019 12 30 02	34.909
2019 12 30 03	34.909
2019 12 30 04	34.909
2019 12 30 05	34.909
2019 12 30 06	34.909
2019 12 30 07	34.909
2019 12 30 08	34.909
2019 12 30 09	34.909
2019 12 30 10	34.909
2019 12 30 11	34.909
2019 12 30 12	34.909
2019 12 30 13	34.909
2019 12 30 14	34.909
2019 12 30 15	34.909
2019 12 30 16	34.909
2019 12 30 17	34.909
2019 12 30 18	34.909
2019 12 30 19	34.909
2019 12 30 20	34.909
2019 12 30 21	34.909
2019 12 30 22	34.909
2019 12 30 23	34.909
2019 12 31 00	34.614
2019 12 31 01	34.614
2019 12 31 02	34.614
2019 12 31 03	34.614
2019 12 31 04	34.614
2019 12 31 05	34.614
2019 12 31 06	34.614
2019 12 31 07	34.614
2019 12 31 08	34.614
2019 12 31 09	34.614
2019 12 31 10	34.614
2019 12 31 11	34.614
2019 12 31 12	34.614
2019 12 31 13	34.614
2019 12 31 14	34.614
2019 12 31 15	34.614
2019 12 31 16	34.614
2019 12 31 17	34.614
2019 12 31 18	34.614
2019 12 31 19	34.614
2019 12 31 20	34.614
2019 12 31 21	34.614
2019 12 31 22	34.614
2019 12 31 23	34.614
2020 01 01 00	34.289
2020 01 01 01	34.289
2020 01 01 02	34.289
2020 01 01 03	34.289
2020 01 01 04	34.289
2020 01 01 05	34.289
2020 01 01 06	34.289
2020 01 01 07	34.289
2020 01 01 08	34.289
2020 01 01 09	34.289
2020 01 01 10	34.289
2020 01 01 11	34.289
2020 01 01 12	34.289
2020 01 01 13	34.289
2020 01 01 14	34.289
2020 01 01 15	34.289
2020 01 01 16	34.289
2020 01 01 17	34.289
2020 01 01 18	34.289
2020 01 01 19	34.289
2020 01 01 20	34.289
2020 01 01 21	34.289
2020 01 01 22	34.289
2020 01 01 23	34.289
2020 01 02 00	33.794
2020 01 02 01	33.794
2020 01 02 02	33.794
2020 01 02 03	33.794
2020 01 02 04	33.794
2020 01 02 05	33.794
2020 01 02 06	33.794
2020 01 02 07	33.794
2020 01 02 08	33.794
2020 01 02 09	33.794
2020 01 02 10	33.794
2020 01 02 11	33.794
2020 01 02 12	33.794
2020 01 02 13	33.794
2020 01 02 14	33.794
2020 01 02 15	33.794
2020 01 02 16	33.794
2020 01 02 17	33.794
2020 01 02 18	33.794
2020 01 02 19	33.794
2020 01 02 20	33.794
2020 01 02 21	33.794
2020 01 02 22	33.794
2020 01 02 23	33.794
2020 01 03 00	33.642
2020 01 03 01	33.642
2020 01 03 02	33.642
2020 01 03 03	33.642
2020 01 03 04	33.642
2020 01 03 05	33.642
2020 01 03 06	33.642
2020 01 03 07	33.642
2020 01 03 08	33.642
2020 01 03 09	33.642
2020 01 03 10	33.642
2020 01 03 11	33.642
2020 01 03 12	33.642
2020 01 03 13	33.642
2020 01 03 14	33.642
2020 01 03 15	33.642
2020 01 03 16	33.642
2020 01 03 17	33.642
2020 01 03 18	33.642
2020 01 03 19	33.642
2020 01 03 20	33.642
2020 01 03 21	33.642
2020 01 03 22	33.642
2020 01 03 23	33.642
2020 01 04 00	33.569
2020 01 04 01	33.569
2020 01 04 02	33.569
2020 01 04 03	33.569
2020 01 04 04	33.569
2020 01 04 05	33.569
2020 01 04 06	33.569
2020 01 04 07	33.569
2020 01 04 08	33.569
2020 01 04 09	33.569
2020 01 04 10	33.569
2020 01 04 11	33.569
2020 01 04 12	33.569
2020 01 04 13	33.569
2020 01 04 14	33.569
2020 01 04 15	33.569
2020 01 04 16	33.569
2020 01 04 17	33.569
2020 01 04 18	33.569
2020 01 04 19	33.569
2020 01 04 20	33.569
2020 01 04 21	33.569
2020 01 04 22	33.569
2020 01 04 23	33.569
2020 01 05 00	34.638
2020 01 05 01	34.638
2020 01 05 02	34.638
2020 01 05 03	34.638
2020 01 05 04	34.638
2020 01 05 05	34.638
2020 01 05 06	34.638
2020 01 05 07	34.638
2020 01 05 08	34.638
2020 01 05 09	34.638
2020 01 05 10	34.638
2020 01 05 11	34.638
2020 01 05 12	34.638
2020 01 05 13	34.638
2020 01 05 14	34.638
2020 01 05 15	34.638
2020 01 05 16	34.638
2020 01 05 17	34.638
2020 01 05 18	34.638
2020 01 05 19	34.638
2020 01 05 20	34.638
2020 01 05 21	34.638
2020 01 05 22	34.638
2020 01 05 23	34.638
2020 01 06 00	35.058
2020 01 06 01	35.058
2020 01 06 02	35.058
2020 01 06 03	35.058
2020 01 06 04	35.058
2020 01 06 05	35.058
2020 01 06 06	35.058
2020 01 06 07	35.058
2020 01 06 08	35.058
2020 01 06 09	35.058
2020 01 06 10	35.058
2020 01 06 11	35.058
2020 01 06 12	35.058
2020 01 06 13	35.058
2020 01 06 14	35.058
2020 01 06 15	35.058
2020 01 06 16	35.058
2020 01 06 17	35.058
2020 01 06 18	35.058
2020 01 06 19	35.058
2020 01 06 20	35.058
2020 01 06 21	35.058
2020 01 06 22	35.058
2020 01 06 23	35.058
2020 01 07 00	34.679
2020 01 07 01	34.679
2020 01 07 02	34.679
2020 01 07 03	34.679
2020 01 07 04	34.679
2020 01 07 05	34.679
2020 01 07 06	34.679
2020 01 07 07	34.679
2020 01 07 08	34.679
2020 01 07 09	34.679
2020 01 07 10	34.679
2020 01 07 11	34.679
2020 01 07 12	34.679
2020 01 07 13	34.679
2020 01 07 14	34.679
2020 01 07 15	34.679
2020 01 07 16	34.679
2020 01 07 17	34.679
2020 01 07 18	34.679
2020 01 07 19	34.679
2020 01 07 20	34.679
2020 01 07 21	34.679
2020 01 07 22	34.679
2020 01 07 23	34.679
2020 01 08 00	34.244
2020 01 08 01	34.244
2020 01 08 02	34.244
2020 01 08 03	34.244
2020 01 08 04	34.244
2020 01 08 05	34.244
2020 01 08 06	34.244
2020 01 08 07	34.244
2020 01 08 08	34.244
2020 01 08 09	34.244
2020 01 08 10	34.244
2020 01 08 11	34.244
2020 01 08 12	34.244
2020 01 08 13	34.244
2020 01 08 14	34.244
2020 01 08 15	34.244
2020 01 08 16	34.244
2020 01 08 17	34.244
2020 01 08 18	34.244
2020 01 08 19	34.244
2020 01 08 20	34.244
2020 01 08 21	34.244
2020 01 08 22	34.244
2020 01 08 23	34.244
2020 01 09 00	34.446
2020 01 09 01	34.446
2020 01 09 02	34.446
2020 01 09 03	34.446
2020 01 09 04	34.446
2020 01 09 05	34.446
2020 01 09 06	34.446
2020 01 09 07	34.446
2020 01 09 08	34.446
2020 01 09 09	34.446
2020 01 09 10	34.446
2020 01 09 11	34.446
2020 01 09 12	34.446
2020 01 09 13	34.446
2020 01 09 14	34.446
2020 01 09 15	34.446
2020 01 09 16	34.446
2020 01 09 17	34.446
2020 01 09 18	34.446
2020 01 09 19	34.446
2020 01 09 20	34.446
2020 01 09 21	34.446
2020 01 09 22	34.446
2020 01 09 23	34.446
2020 01 10 00	34.965
2020 01 10 01	34.965
2020 01 10 02	34.965
2020 01 10 03	34.965
2020 01 10 04	34.965
2020 01 10 05	34.965
2020 01 10 06	34.965
2020 01 10 07	34.965
2020 01 10 08	34.965
2020 01 10 09	34.965
2020 01 10 10	34.965
2020 01 10 11	34.965
2020 01 10 12	34.965
2020 01 10 13	34.965
2020 01 10 14	34.965
2020 01 10 15	34.965
2020 01 10 16	34.965
2020 01 10 17	34.965
2020 01 10 18	34.965
2020 01 10 19	34.965
2020 01 10 20	34.965
2020 01 10 21	34.965
2020 01 10 22	34.965
2020 01 10 23	34.965
2020 01 11 00	34.53
2020 01 11 01	34.53
2020 01 11 02	34.53
2020 01 11 03	34.53
2020 01 11 04	34.53
2020 01 11 05	34.53
2020 01 11 06	34.53
2020 01 11 07	34.53
2020 01 11 08	34.53
2020 01 11 09	34.53
2020 01 11 10	34.53
2020 01 11 11	34.53
2020 01 11 12	34.53
2020 01 11 13	34.53
2020 01 11 14	34.53
2020 01 11 15	34.53
2020 01 11 16	34.53
2020 01 11 17	34.53
2020 01 11 18	34.53
2020 01 11 19	34.53
2020 01 11 20	34.53
2020 01 11 21	34.53
2020 01 11 22	34.53
2020 01 11 23	34.53
2020 01 12 00	34.243
2020 01 12 01	34.243
2020 01 12 02	34.243
2020 01 12 03	34.243
2020 01 12 04	34.243
2020 01 12 05	34.243
2020 01 12 06	34.243
2020 01 12 07	34.243
2020 01 12 08	34.243
2020 01 12 09	34.243
2020 01 12 10	34.243
2020 01 12 11	34.243
2020 01 12 12	34.243
2020 01 12 13	34.243
2020 01 12 14	34.243
2020 01 12 15	34.243
2020 01 12 16	34.243
2020 01 12 17	34.243
2020 01 12 18	34.243
2020 01 12 19	34.243
2020 01 12 20	34.243
2020 01 12 21	34.243
2020 01 12 22	34.243
2020 01 12 23	34.243
2020 01 13 00	34.346
2020 01 13 01	34.346
2020 01 13 02	34.346
2020 01 13 03	34.346
2020 01 13 04	34.346
2020 01 13 05	34.346
2020 01 13 06	34.346
2020 01 13 07	34.346
2020 01 13 08	34.346
2020 01 13 09	34.346
2020 01 13 10	34.346
2020 01 13 11	34.346
2020 01 13 12	34.346
2020 01 13 13	34.346
2020 01 13 14	34.346
2020 01 13 15	34.346
2020 01 13 16	34.346
2020 01 13 17	34.346
2020 01 13 18	34.346
2020 01 13 19	34.346
2020 01 13 20	34.346
2020 01 13 21	34.346
2020 01 13 22	34.346
2020 01 13 23	34.346
2020 01 14 00	34.8
2020 01 14 01	34.8
2020 01 14 02	34.8
2020 01 14 03	34.8
2020 01 14 04	34.8
2020 01 14 05	34.8
