Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2019 12 12 00	0.074	92.57
2019 12 12 01	0.067	92.53
2019 12 12 02	0.063	92.42
2019 12 12 03	0.06	92.21
2019 12 12 04	0.058	91.96
2019 12 12 05	0.056	91.01
2019 12 12 06	0.055	91.03
2019 12 12 07	0.054	91.05
2019 12 12 08	0.051	91.49
2019 12 12 09	0.046	91.65
2019 12 12 10	0.04	92.36
2019 12 12 11	0.033	91.7
2019 12 12 12	0.029	91.97
2019 12 12 13	0.029	91.95
2019 12 12 14	0.033	91.14
2019 12 12 15	0.039	91.94
2019 12 12 16	0.05	91.51
2019 12 12 17	0.068	91.67
2019 12 12 18	0.091	91.87
2019 12 12 19	0.107	92.13
2019 12 12 20	0.113	92.19
2019 12 12 21	0.112	92.37
2019 12 12 22	0.109	92.43
2019 12 12 23	0.109	92.61
2019 12 13 00	0.11	92.59
2019 12 13 01	0.111	92.56
2019 12 13 02	0.114	92.34
2019 12 13 03	0.118	92.26
2019 12 13 04	0.122	92.33
2019 12 13 05	0.128	92.23
2019 12 13 06	0.131	92.04
2019 12 13 07	0.131	92.03
2019 12 13 08	0.128	92.09
2019 12 13 09	0.123	92.32
2019 12 13 10	0.115	92.31
2019 12 13 11	0.107	92.48
2019 12 13 12	0.1	92.65
2019 12 13 13	0.096	92.38
2019 12 13 14	0.093	92.25
2019 12 13 15	0.092	92.28
2019 12 13 16	0.091	92.08
2019 12 13 17	0.091	91.87
2019 12 13 18	0.092	91.87
2019 12 13 19	0.091	91.88
2019 12 13 20	0.09	91.91
2019 12 13 21	0.087	92.19
2019 12 13 22	0.079	92.4
2019 12 13 23	0.069	92.47
2019 12 14 00	0.059	92.87
2019 12 14 01	0.052	92.2
2019 12 14 02	0.045	92.12
2019 12 14 03	0.04	91.91
2019 12 14 04	0.035	90.53
2019 12 14 05	0.034	90.0
2019 12 14 06	0.033	89.43
2019 12 14 07	0.033	89.44
2019 12 14 08	0.035	89.46
2019 12 14 09	0.035	90.0
2019 12 14 10	0.034	90.55
2019 12 14 11	0.03	91.23
2019 12 14 12	0.026	91.47
2019 12 14 13	0.02	91.88
2019 12 14 14	0.015	92.44
2019 12 14 15	0.011	88.41
2019 12 14 16	0.009	86.06
2019 12 14 17	0.009	83.67
2019 12 14 18	0.01	84.3
2019 12 14 19	0.013	85.61
2019 12 14 20	0.018	88.97
2019 12 14 21	0.022	90.01
2019 12 14 22	0.025	90.75
2019 12 14 23	0.025	91.51
2019 12 15 00	0.022	92.56
2019 12 15 01	0.018	93.06
2019 12 15 02	0.016	93.57
2019 12 15 03	0.015	92.55
2019 12 15 04	0.016	91.13
2019 12 15 05	0.021	90.87
2019 12 15 06	0.029	90.65
2019 12 15 07	0.038	91.51
2019 12 15 08	0.045	91.25
2019 12 15 09	0.049	91.55
2019 12 15 10	0.047	92.01
2019 12 15 11	0.038	92.96
2019 12 15 12	0.026	93.66
2019 12 15 13	0.013	97.11
2019 12 15 14	0.001	236.63
2019 12 15 15	0.013	272.79
2019 12 15 16	0.024	272.35
2019 12 15 17	0.03	274.39
2019 12 15 18	0.031	275.45
2019 12 15 19	0.024	276.23
2019 12 15 20	0.011	285.2
2019 12 15 21	0.005	66.45
2019 12 15 22	0.014	82.26
2019 12 15 23	0.015	87.53
2019 12 16 00	0.01	86.32
2019 12 16 01	0.002	82.9
2019 12 16 02	0.004	274.38
2019 12 16 03	0.01	277.58
2019 12 16 04	0.012	277.48
2019 12 16 05	0.01	280.59
2019 12 16 06	0.005	286.32
2019 12 16 07	0.001	11.3
2019 12 16 08	0.006	74.53
2019 12 16 09	0.011	81.9
2019 12 16 10	0.014	87.42
2019 12 16 11	0.015	90.01
2019 12 16 12	0.012	91.6
2019 12 16 13	0.008	90.0
2019 12 16 14	0.006	90.0
2019 12 16 15	0.008	92.37
2019 12 16 16	0.009	90.0
2019 12 16 17	0.008	90.0
2019 12 16 18	0.011	90.0
2019 12 16 19	0.018	92.08
2019 12 16 20	0.021	91.79
2019 12 16 21	0.023	91.61
2019 12 16 22	0.028	91.33
2019 12 16 23	0.034	92.8
2019 12 17 00	0.038	93.01
2019 12 17 01	0.039	93.42
2019 12 17 02	0.037	93.57
2019 12 17 03	0.033	93.96
2019 12 17 04	0.028	92.66
2019 12 17 05	0.024	93.13
2019 12 17 06	0.022	92.56
2019 12 17 07	0.022	91.68
2019 12 17 08	0.024	90.78
2019 12 17 09	0.029	90.65
2019 12 17 10	0.035	91.62
2019 12 17 11	0.041	91.38
2019 12 17 12	0.045	91.67
2019 12 17 13	0.046	92.06
2019 12 17 14	0.043	92.64
2019 12 17 15	0.038	93.01
2019 12 17 16	0.03	91.88
2019 12 17 17	0.022	91.68
2019 12 17 18	0.015	91.2
2019 12 17 19	0.011	84.97
2019 12 17 20	0.007	80.16
2019 12 17 21	0.006	78.14
2019 12 17 22	0.007	77.23
2019 12 17 23	0.009	82.17
2019 12 18 00	0.012	83.68
2019 12 18 01	0.013	85.83
2019 12 18 02	0.014	90.01
2019 12 18 03	0.012	91.51
2019 12 18 04	0.007	87.52
2019 12 18 05	0.002	80.57
2019 12 18 06	0.004	278.7
2019 12 18 07	0.01	277.58
2019 12 18 08	0.012	277.48
2019 12 18 09	0.012	277.67
2019 12 18 10	0.009	281.65
2019 12 18 11	0.005	279.95
2019 12 18 12	0.001	300.77
2019 12 18 13	0.002	71.6
2019 12 18 14	0.003	84.82
2019 12 18 15	0.003	90.0
2019 12 18 16	0.001	90.0
2019 12 18 17	0.002	314.9
2019 12 18 18	0.005	273.55
2019 12 18 19	0.009	278.41
2019 12 18 20	0.014	275.18
2019 12 18 21	0.019	275.0
2019 12 18 22	0.019	275.0
2019 12 18 23	0.016	276.96
2019 12 19 00	0.011	278.6
2019 12 19 01	0.005	280.57
2019 12 19 02	0.002	288.39
2019 12 19 03	0.0	296.7
2019 12 19 04	0.002	278.11
2019 12 19 05	0.006	273.0
2019 12 19 06	0.011	271.72
2019 12 19 07	0.013	275.85
2019 12 19 08	0.012	277.89
2019 12 19 09	0.008	279.42
2019 12 19 10	0.001	314.99
2019 12 19 11	0.007	79.27
2019 12 19 12	0.015	87.48
2019 12 19 13	0.02	89.06
2019 12 19 14	0.02	90.01
2019 12 19 15	0.019	91.01
2019 12 19 16	0.015	92.49
2019 12 19 17	0.01	90.0
2019 12 19 18	0.004	90.0
2019 12 19 19	0.0	359.28
2019 12 19 20	0.004	274.37
