Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2019 12 12 00	2.09	10.4	14.7	352	-9999.9	-9999.9	1.86	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 01	2.16	11.2	14.7	353	-9999.9	-9999.9	1.94	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 02	2.23	11.4	14.7	353	-9999.9	-9999.9	2.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 03	2.27	11.3	14.7	353	-9999.9	-9999.9	2.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 04	2.28	11.5	14.7	353	-9999.9	-9999.9	2.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 05	2.28	11.6	14.7	353	-9999.9	-9999.9	2.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 06	2.27	11.6	14.7	353	-9999.9	-9999.9	2.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 07	2.24	11.7	14.7	353	-9999.9	-9999.9	2.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 08	2.21	11.8	14.7	353	-9999.9	-9999.9	2.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 09	2.17	11.8	14.7	353	-9999.9	-9999.9	1.98	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 10	2.14	11.8	14.7	353	-9999.9	-9999.9	1.94	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 11	2.09	11.8	14.7	353	-9999.9	-9999.9	1.91	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 12	2.04	11.9	14.7	353	-9999.9	-9999.9	1.88	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 13	2.0	11.9	14.7	352	-9999.9	-9999.9	1.84	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 14	1.98	11.8	14.7	352	-9999.9	-9999.9	1.83	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 15	2.12	11.3	14.7	351	-9999.9	-9999.9	1.93	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 16	2.37	9.8	14.7	350	-9999.9	-9999.9	2.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 17	2.54	8.6	14.7	348	-9999.9	-9999.9	2.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 18	2.61	8.3	14.7	348	-9999.9	-9999.9	2.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 19	2.67	7.8	14.7	346	-9999.9	-9999.9	2.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 20	2.75	7.1	14.7	345	-9999.9	-9999.9	2.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 21	2.81	6.6	14.7	344	-9999.9	-9999.9	2.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 22	2.87	6.2	14.7	343	-9999.9	-9999.9	2.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 12 23	2.93	6.2	14.7	342	-9999.9	-9999.9	2.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 00	3.02	6.0	14.7	341	-9999.9	-9999.9	2.38	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 01	3.11	6.0	14.7	341	-9999.9	-9999.9	2.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 02	3.23	5.9	14.7	341	-9999.9	-9999.9	2.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 03	3.39	5.9	14.7	341	-9999.9	-9999.9	2.62	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 04	3.55	6.0	14.7	341	-9999.9	-9999.9	2.74	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 05	3.67	6.2	14.7	341	-9999.9	-9999.9	2.86	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 06	3.74	6.3	14.7	342	-9999.9	-9999.9	2.95	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 07	3.79	6.4	14.7	343	-9999.9	-9999.9	3.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 08	3.85	6.6	14.7	344	-9999.9	-9999.9	3.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 09	3.94	6.7	14.7	345	-9999.9	-9999.9	3.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 10	4.0	7.0	14.7	346	-9999.9	-9999.9	3.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 11	4.02	7.1	14.7	346	-9999.9	-9999.9	3.29	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 12	3.95	7.3	14.7	347	-9999.9	-9999.9	3.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 13	3.72	8.2	16.1	349	-9999.9	-9999.9	3.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 14	3.66	7.9	14.7	349	-9999.9	-9999.9	3.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 15	3.55	7.9	14.7	350	-9999.9	-9999.9	3.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 16	3.44	7.9	14.7	350	-9999.9	-9999.9	2.94	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 17	3.25	9.1	14.7	352	-9999.9	-9999.9	2.86	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 18	3.1	11.4	14.7	353	-9999.9	-9999.9	2.8	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 19	3.06	11.8	14.7	353	-9999.9	-9999.9	2.76	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 20	3.08	11.2	14.7	352	-9999.9	-9999.9	2.76	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 21	3.15	10.5	14.7	352	-9999.9	-9999.9	2.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 22	3.14	10.5	14.7	352	-9999.9	-9999.9	2.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 23	3.02	11.0	14.7	352	-9999.9	-9999.9	2.72	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 00	2.89	11.7	14.7	353	-9999.9	-9999.9	2.62	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 01	2.77	12.4	14.7	353	-9999.9	-9999.9	2.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 02	2.66	12.5	14.7	353	-9999.9	-9999.9	2.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
