Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2019 12 12 00	14.506
2019 12 12 01	14.5
2019 12 12 02	14.492
2019 12 12 03	14.484
2019 12 12 04	14.475
2019 12 12 05	14.466
2019 12 12 06	14.458
2019 12 12 07	14.451
2019 12 12 08	14.446
2019 12 12 09	14.441
2019 12 12 10	14.439
2019 12 12 11	14.437
2019 12 12 12	14.436
2019 12 12 13	14.436
2019 12 12 14	14.437
2019 12 12 15	14.439
2019 12 12 16	14.443
2019 12 12 17	14.447
2019 12 12 18	14.45
2019 12 12 19	14.454
2019 12 12 20	14.459
2019 12 12 21	14.465
2019 12 12 22	14.474
2019 12 12 23	14.483
2019 12 13 00	14.493
2019 12 13 01	14.502
2019 12 13 02	14.509
2019 12 13 03	14.515
2019 12 13 04	14.519
2019 12 13 05	14.523
2019 12 13 06	14.524
2019 12 13 07	14.525
2019 12 13 08	14.526
2019 12 13 09	14.527
2019 12 13 10	14.529
2019 12 13 11	14.532
2019 12 13 12	14.538
2019 12 13 13	14.546
2019 12 13 14	14.553
2019 12 13 15	14.56
2019 12 13 16	14.566
2019 12 13 17	14.573
2019 12 13 18	14.573
2019 12 13 19	14.569
2019 12 13 20	14.564
2019 12 13 21	14.556
2019 12 13 22	14.547
2019 12 13 23	14.539
2019 12 14 00	14.533
2019 12 14 01	14.526
2019 12 14 02	14.518
2019 12 14 03	14.509
2019 12 14 04	14.498
2019 12 14 05	14.486
2019 12 14 06	14.476
2019 12 14 07	14.468
2019 12 14 08	14.458
2019 12 14 09	14.447
2019 12 14 10	14.435
2019 12 14 11	14.423
2019 12 14 12	14.429
2019 12 14 13	14.445
2019 12 14 14	14.458
2019 12 14 15	14.472
2019 12 14 16	14.486
2019 12 14 17	14.5
2019 12 14 18	14.504
2019 12 14 19	14.502
2019 12 14 20	14.498
2019 12 14 21	14.493
2019 12 14 22	14.486
2019 12 14 23	14.479
2019 12 15 00	14.472
2019 12 15 01	14.464
2019 12 15 02	14.456
2019 12 15 03	14.445
2019 12 15 04	14.43
2019 12 15 05	14.41
2019 12 15 06	14.392
2019 12 15 07	14.368
2019 12 15 08	14.339
2019 12 15 09	14.317
2019 12 15 10	14.309
2019 12 15 11	14.308
2019 12 15 12	14.32
2019 12 15 13	14.33
2019 12 15 14	14.335
2019 12 15 15	14.34
2019 12 15 16	14.346
2019 12 15 17	14.348
2019 12 15 18	14.339
2019 12 15 19	14.32
2019 12 15 20	14.31
2019 12 15 21	14.306
2019 12 15 22	14.29
2019 12 15 23	14.279
2019 12 16 00	14.275
2019 12 16 01	14.261
2019 12 16 02	14.24
2019 12 16 03	14.219
2019 12 16 04	14.201
2019 12 16 05	14.189
2019 12 16 06	14.182
2019 12 16 07	14.171
2019 12 16 08	14.156
2019 12 16 09	14.137
2019 12 16 10	14.111
2019 12 16 11	14.078
2019 12 16 12	14.082
2019 12 16 13	14.122
2019 12 16 14	14.158
2019 12 16 15	14.197
2019 12 16 16	14.24
2019 12 16 17	14.283
2019 12 16 18	14.294
2019 12 16 19	14.286
2019 12 16 20	14.294
2019 12 16 21	14.31
2019 12 16 22	14.329
2019 12 16 23	14.346
2019 12 17 00	14.363
2019 12 17 01	14.368
2019 12 17 02	14.366
2019 12 17 03	14.36
2019 12 17 04	14.353
2019 12 17 05	14.344
2019 12 17 06	14.333
2019 12 17 07	14.322
2019 12 17 08	14.309
2019 12 17 09	14.296
2019 12 17 10	14.28
2019 12 17 11	14.263
2019 12 17 12	14.25
2019 12 17 13	14.238
2019 12 17 14	14.226
2019 12 17 15	14.214
2019 12 17 16	14.203
2019 12 17 17	14.193
2019 12 17 18	14.178
2019 12 17 19	14.156
2019 12 17 20	14.131
2019 12 17 21	14.106
2019 12 17 22	14.087
2019 12 17 23	14.076
2019 12 18 00	14.263
2019 12 18 01	14.259
2019 12 18 02	14.268
2019 12 18 03	14.279
2019 12 18 04	14.291
2019 12 18 05	14.307
2019 12 18 06	14.324
2019 12 18 07	14.341
2019 12 18 08	14.358
2019 12 18 09	14.371
2019 12 18 10	14.383
2019 12 18 11	14.393
2019 12 18 12	14.403
2019 12 18 13	14.411
